sample_type,sequencing,read_type,goal,reference_gated,strategy_id,workflow_name,route_kind,build_ok,dependency_valid,step_count,tool_candidates,compatible_tools,incompatible_tools,zero_compatible_steps,insufficient_parallel_steps,status,detail
Bacterial isolate,Illumina + Oxford Nanopore,Paired-end + Long reads,Hybrid genome assembly,False,bacterial_illumina_ont_hybrid,Bacterial isolate — Illumina + Oxford Nanopore hybrid assembly,curated_static,True,True,7,12,12,0,0,0,PASS,
Bacterial isolate,Illumina + PacBio,Paired-end + Long reads,Hybrid genome assembly,False,bacterial_illumina_pacbio_hybrid,Bacterial isolate — Illumina + PacBio hybrid assembly,curated_static,True,True,7,10,10,0,0,0,PASS,
Metagenome,Illumina,Paired-end,Strain-level phylogenomics,False,metagenome_illumina_strain_phylogenomics,Metagenome — Illumina strain-level phylogenomics,curated_static,True,True,5,6,6,0,0,0,PASS,
Metagenome,Illumina,Paired-end,Microdiversity profiling,False,metagenome_illumina_microdiversity,Metagenome — Illumina microdiversity profiling,curated_static,True,True,5,6,6,0,0,0,PASS,
Metagenome,Illumina,Paired-end,Functional profiling,False,metagenome_illumina_functional,Metagenome — Illumina functional profiling,curated_static,True,True,3,4,4,0,0,0,PASS,
Metagenome,Illumina,Paired-end,Pathway analysis,False,metagenome_illumina_pathways,Metagenome — Illumina pathway analysis,curated_static,True,True,3,4,4,0,0,0,PASS,
Metagenome,Illumina,Paired-end,Virulence profiling,False,metagenome_illumina_virulence,Metagenome — Illumina virulence profiling,curated_static,True,True,4,6,6,0,0,0,PASS,
Metagenome,Illumina,Paired-end,Viral analysis,False,metagenome_illumina_viral,Metagenome — Illumina viral analysis,curated_static,True,True,6,9,9,0,0,0,PASS,
Metagenome,Illumina,Paired-end,Taxonomic profiling,False,metagenome_illumina_taxonomy_prokaryotic,Metagenome — Illumina prokaryotic taxonomic profiling,curated_static,True,True,3,6,6,0,0,0,PASS,
Metagenome,Illumina,Paired-end,Taxonomic profiling,False,metagenome_illumina_taxonomy_eukaryotic,Metagenome — Illumina microbial eukaryotic taxonomic profiling,curated_static,True,True,3,5,5,0,0,0,PASS,
Metagenome,Illumina,Paired-end,Taxonomic profiling,False,metagenome_illumina_taxonomy_broad,Metagenome — Illumina broad multi-kingdom taxonomic profiling,curated_static,True,True,3,6,6,0,0,0,PASS,
Metagenome,Illumina,Paired-end,Antibiotic resistance profiling,False,metagenome_illumina_resistome_deeparg,Metagenome — DeepARG-SS resistome profiling,curated_static,True,True,3,4,4,0,0,0,PASS,
Metagenome,Illumina,Paired-end,Antibiotic resistance profiling,False,metagenome_illumina_resistome_rgi,Metagenome — CARD RGI BWT resistome profiling,curated_static,True,True,3,4,4,0,0,0,PASS,
Metagenome,Illumina,Paired-end,Antibiotic resistance profiling,False,metagenome_illumina_resistome_amrplusplus,Metagenome — AMR++ turnkey resistome pipeline,curated_static,True,True,1,1,1,0,0,0,PASS,
Metagenome,Illumina,Paired-end,Plasmid analysis,False,metagenome_illumina_plasmid_genomad,Metagenome — plasmid sequence prediction with geNomad,curated_static,True,True,4,6,6,0,0,0,PASS,
Metagenome,Illumina,Paired-end,Plasmid analysis,False,metagenome_illumina_plasmid_plasx,Metagenome — PlasX gene-architecture plasmid workflow,curated_static,True,True,4,6,6,0,0,0,PASS,
Metagenome,Illumina,Paired-end,MAG reconstruction,False,metagenome_illumina_mag_single,Metagenome — single-sample MAG reconstruction,curated_static,True,True,11,18,18,0,0,0,PASS,
Metagenome,Illumina,Paired-end,MAG reconstruction,False,metagenome_illumina_mag_coassembly,Metagenome — multi-sample coassembly MAG reconstruction,curated_static,True,True,11,18,18,0,0,0,PASS,
Metagenome,Illumina,Single-end,Taxonomic profiling,False,dynamic__metagenome__illumina__single_end__metagenome_illumina_taxonomy_prokaryotic,Metagenome — Illumina prokaryotic taxonomic profiling — single-end,dynamic,True,True,3,6,6,0,0,0,PASS,
Metagenome,Illumina,Single-end,Taxonomic profiling,False,dynamic__metagenome__illumina__single_end__metagenome_illumina_taxonomy_eukaryotic,Metagenome — Illumina microbial eukaryotic taxonomic profiling — single-end,dynamic,True,True,3,5,5,0,0,0,PASS,
Metagenome,Illumina,Single-end,Taxonomic profiling,False,dynamic__metagenome__illumina__single_end__metagenome_illumina_taxonomy_broad,Metagenome — Illumina broad multi-kingdom taxonomic profiling — single-end,dynamic,True,True,3,6,6,0,0,0,PASS,
Metagenome,Illumina,Single-end,Functional profiling,False,dynamic__metagenome__illumina__single_end__metagenome_illumina_functional,Metagenome — Illumina functional profiling — single-end,dynamic,True,True,3,4,4,0,0,0,PASS,
Metagenome,Illumina,Single-end,Pathway analysis,False,dynamic__metagenome__illumina__single_end__metagenome_illumina_pathways,Metagenome — Illumina pathway analysis — single-end,dynamic,True,True,3,4,4,0,0,0,PASS,
Metagenome,Illumina,Single-end,Antibiotic resistance profiling,False,dynamic__metagenome__illumina__single_end__metagenome_illumina_resistome_deeparg,Metagenome — DeepARG-SS resistome profiling — single-end,dynamic,True,True,3,4,4,0,0,0,PASS,
Metagenome,Illumina,Single-end,Antibiotic resistance profiling,False,dynamic__metagenome__illumina__single_end__metagenome_illumina_resistome_rgi,Metagenome — CARD RGI BWT resistome profiling — single-end,dynamic,True,True,3,4,4,0,0,0,PASS,
Metagenome,Illumina,Single-end,Antibiotic resistance profiling,False,dynamic__metagenome__illumina__single_end__metagenome_illumina_resistome_amrplusplus,Metagenome — AMR++ turnkey resistome pipeline — single-end,dynamic,True,True,1,1,1,0,0,0,PASS,
Metagenome,Illumina,Single-end,Virulence profiling,False,dynamic__metagenome__illumina__single_end__metagenome_illumina_virulence,Metagenome — Illumina virulence profiling — single-end,dynamic,True,True,4,6,5,1,0,0,PASS,
Metagenome,Illumina,Single-end,Viral analysis,False,dynamic__metagenome__illumina__single_end__metagenome_illumina_viral,Metagenome — Illumina viral analysis — single-end,dynamic,True,True,6,9,8,1,0,0,PASS,
Metagenome,Illumina,Single-end,Plasmid analysis,False,dynamic__metagenome__illumina__single_end__metagenome_illumina_plasmid_genomad,Metagenome — plasmid sequence prediction with geNomad — single-end,dynamic,True,True,4,6,5,1,0,0,PASS,
Metagenome,Illumina,Single-end,Plasmid analysis,False,dynamic__metagenome__illumina__single_end__metagenome_illumina_plasmid_plasx,Metagenome — PlasX gene-architecture plasmid workflow — single-end,dynamic,True,True,4,6,5,1,0,0,PASS,
Metagenome,Illumina,Single-end,MAG reconstruction,False,dynamic__metagenome__illumina__single_end__metagenome_illumina_mag_single,Metagenome — single-sample MAG reconstruction — single-end,dynamic,True,True,11,18,17,1,0,0,PASS,
Metagenome,Illumina,Single-end,Microdiversity profiling,False,dynamic__metagenome__illumina__single_end__metagenome_illumina_microdiversity,Metagenome — Illumina microdiversity profiling — single-end,dynamic,True,True,5,6,6,0,0,0,PASS,
Metagenome,Illumina + Oxford Nanopore,Paired-end + Long reads,MAG reconstruction,False,metagenome_illumina_ont_hybrid_mag,Metagenome — Illumina + Oxford Nanopore hybrid MAG reconstruction,curated_static,True,True,13,20,20,0,0,0,PASS,
Metagenome,Illumina + Oxford Nanopore,Paired-end + Long reads,Viral analysis,False,metagenome_illumina_ont_hybrid_viral,Metagenome — Illumina + Oxford Nanopore hybrid viral analysis,curated_static,True,True,8,11,11,0,0,0,PASS,
Metagenome,Illumina + Oxford Nanopore,Paired-end + Long reads,Virulence profiling,False,metagenome_illumina_ont_hybrid_virulence,Metagenome — Illumina + Oxford Nanopore hybrid virulence profiling,curated_static,True,True,6,8,8,0,0,0,PASS,
Metagenome,Illumina + Oxford Nanopore,Paired-end + Long reads,Plasmid analysis,False,metagenome_illumina_ont_hybrid_plasmid,Metagenome — Illumina + Oxford Nanopore hybrid plasmid analysis,curated_static,True,True,6,8,8,0,0,0,PASS,
Metagenome,Illumina + PacBio,Paired-end + Long reads,MAG reconstruction,False,metagenome_illumina_pacbio_hybrid_mag,Metagenome — Illumina + PacBio hybrid MAG reconstruction,curated_static,True,True,13,20,20,0,0,0,PASS,
Metagenome,Illumina + PacBio,Paired-end + Long reads,Viral analysis,False,metagenome_illumina_pacbio_hybrid_viral,Metagenome — Illumina + PacBio hybrid viral analysis,curated_static,True,True,8,11,11,0,0,0,PASS,
Metagenome,Illumina + PacBio,Paired-end + Long reads,Virulence profiling,False,metagenome_illumina_pacbio_hybrid_virulence,Metagenome — Illumina + PacBio hybrid virulence profiling,curated_static,True,True,6,8,8,0,0,0,PASS,
Metagenome,Illumina + PacBio,Paired-end + Long reads,Plasmid analysis,False,metagenome_illumina_pacbio_hybrid_plasmid,Metagenome — Illumina + PacBio hybrid plasmid analysis,curated_static,True,True,6,8,8,0,0,0,PASS,
Metagenome,Oxford Nanopore,Long reads,Taxonomic profiling,False,dynamic__metagenome__oxford_nanopore__long_reads__taxonomic_profiling,Metagenome — Oxford Nanopore long-read taxonomic profiling,dynamic,True,True,3,4,4,0,0,0,PASS,
Metagenome,Oxford Nanopore,Long reads,MAG reconstruction,False,dynamic__metagenome__oxford_nanopore__long_reads__mag_reconstruction,Metagenome — Oxford Nanopore long-read mag reconstruction,dynamic,True,True,11,16,16,0,0,0,PASS,
Metagenome,Oxford Nanopore,Long reads,Antibiotic resistance profiling,False,dynamic__metagenome__oxford_nanopore__long_reads__antibiotic_resistance_profiling,Metagenome — Oxford Nanopore long-read antibiotic resistance profiling,dynamic,True,True,3,4,4,0,0,0,PASS,
Metagenome,Oxford Nanopore,Long reads,Virulence profiling,False,dynamic__metagenome__oxford_nanopore__long_reads__virulence_profiling,Metagenome — Oxford Nanopore long-read virulence profiling,dynamic,True,True,4,5,5,0,0,0,PASS,
Metagenome,Oxford Nanopore,Long reads,Viral analysis,False,dynamic__metagenome__oxford_nanopore__long_reads__viral_analysis,Metagenome — Oxford Nanopore long-read viral analysis,dynamic,True,True,6,8,8,0,0,0,PASS,
Metagenome,Oxford Nanopore,Long reads,Plasmid analysis,False,dynamic__metagenome__oxford_nanopore__long_reads__plasmid_analysis,Metagenome — Oxford Nanopore long-read plasmid analysis,dynamic,True,True,4,5,5,0,0,0,PASS,
Metagenome,PacBio,Long reads,Taxonomic profiling,False,dynamic__metagenome__pacbio__long_reads__taxonomic_profiling,Metagenome — PacBio long-read taxonomic profiling,dynamic,True,True,3,4,4,0,0,0,PASS,
Metagenome,PacBio,Long reads,MAG reconstruction,False,dynamic__metagenome__pacbio__long_reads__mag_reconstruction,Metagenome — PacBio long-read mag reconstruction,dynamic,True,True,11,16,16,0,0,0,PASS,
Metagenome,PacBio,Long reads,Antibiotic resistance profiling,False,dynamic__metagenome__pacbio__long_reads__antibiotic_resistance_profiling,Metagenome — PacBio long-read antibiotic resistance profiling,dynamic,True,True,3,4,4,0,0,0,PASS,
Metagenome,PacBio,Long reads,Virulence profiling,False,dynamic__metagenome__pacbio__long_reads__virulence_profiling,Metagenome — PacBio long-read virulence profiling,dynamic,True,True,4,5,5,0,0,0,PASS,
Metagenome,PacBio,Long reads,Viral analysis,False,dynamic__metagenome__pacbio__long_reads__viral_analysis,Metagenome — PacBio long-read viral analysis,dynamic,True,True,6,8,8,0,0,0,PASS,
Metagenome,PacBio,Long reads,Plasmid analysis,False,dynamic__metagenome__pacbio__long_reads__plasmid_analysis,Metagenome — PacBio long-read plasmid analysis,dynamic,True,True,4,5,5,0,0,0,PASS,
Amplicon,Illumina,Paired-end,16S rRNA analysis,False,amplicon_illumina_16s,ASV · DADA2 modular (16S),curated_static,True,True,3,5,5,0,0,0,PASS,
Amplicon,Illumina,Paired-end,16S rRNA analysis,False,amplicon_illumina_16s_qiime2_asv,ASV · QIIME 2 q2-dada2 (16S),curated_static,True,True,1,1,1,0,0,0,PASS,
Amplicon,Illumina,Paired-end,16S rRNA analysis,False,amplicon_illumina_16s_nfcore,ASV turnkey · nf-core/ampliseq (16S),curated_static,True,True,1,1,1,0,0,0,PASS,
Amplicon,Illumina,Paired-end,16S rRNA analysis,False,amplicon_illumina_16s_frogs,Flexible pipeline · FROGS (16S),curated_static,True,True,1,1,1,0,0,0,PASS,
Amplicon,Illumina,Paired-end,16S rRNA analysis,False,amplicon_illumina_16s_lotus2,Flexible pipeline · LotuS2 (16S),curated_static,True,True,1,1,1,0,0,0,PASS,
Amplicon,Illumina,Paired-end,16S rRNA analysis,False,amplicon_illumina_16s_obitools4,MOTU/metabarcoding · OBITools4-composed workflow (16S),curated_static,True,True,1,1,1,0,0,0,PASS,
Amplicon,Illumina,Paired-end,16S rRNA analysis,False,amplicon_illumina_16s_mothur,OTU · mothur (16S),curated_static,True,True,1,1,1,0,0,0,PASS,
Amplicon,Illumina,Paired-end,16S rRNA analysis,False,amplicon_illumina_16s_vsearch_otu,OTU · VSEARCH-centered modular workflow (16S),curated_static,True,True,1,1,1,0,0,0,PASS,
Amplicon,Illumina,Paired-end,16S rRNA analysis,False,amplicon_illumina_16s_qiime2_otu,OTU · QIIME 2 q2-vsearch (16S),curated_static,True,True,1,1,1,0,0,0,PASS,
Amplicon,Illumina,Paired-end,16S rRNA analysis,False,amplicon_illumina_16s_silvangs,OTU web service · SILVAngs (16S),curated_static,True,True,2,2,2,0,0,0,PASS,
Amplicon,Illumina,Paired-end,18S rRNA analysis,False,amplicon_illumina_18s,ASV · DADA2 modular (18S),curated_static,True,True,3,5,5,0,0,0,PASS,
Amplicon,Illumina,Paired-end,18S rRNA analysis,False,amplicon_illumina_18s_qiime2_asv,ASV · QIIME 2 q2-dada2 (18S),curated_static,True,True,1,1,1,0,0,0,PASS,
Amplicon,Illumina,Paired-end,18S rRNA analysis,False,amplicon_illumina_18s_nfcore,ASV turnkey · nf-core/ampliseq (18S),curated_static,True,True,1,1,1,0,0,0,PASS,
Amplicon,Illumina,Paired-end,18S rRNA analysis,False,amplicon_illumina_18s_frogs,Flexible pipeline · FROGS (18S),curated_static,True,True,1,1,1,0,0,0,PASS,
Amplicon,Illumina,Paired-end,18S rRNA analysis,False,amplicon_illumina_18s_lotus2,Flexible pipeline · LotuS2 (18S),curated_static,True,True,1,1,1,0,0,0,PASS,
Amplicon,Illumina,Paired-end,18S rRNA analysis,False,amplicon_illumina_18s_obitools4,MOTU/metabarcoding · OBITools4-composed workflow (18S),curated_static,True,True,1,1,1,0,0,0,PASS,
Amplicon,Illumina,Paired-end,18S rRNA analysis,False,amplicon_illumina_18s_mothur,OTU · mothur (18S),curated_static,True,True,1,1,1,0,0,0,PASS,
Amplicon,Illumina,Paired-end,18S rRNA analysis,False,amplicon_illumina_18s_vsearch_otu,OTU · VSEARCH-centered modular workflow (18S),curated_static,True,True,1,1,1,0,0,0,PASS,
Amplicon,Illumina,Paired-end,18S rRNA analysis,False,amplicon_illumina_18s_qiime2_otu,OTU · QIIME 2 q2-vsearch (18S),curated_static,True,True,1,1,1,0,0,0,PASS,
Amplicon,Illumina,Paired-end,18S rRNA analysis,False,amplicon_illumina_18s_silvangs,OTU web service · SILVAngs (18S),curated_static,True,True,2,2,2,0,0,0,PASS,
Amplicon,Illumina,Paired-end,ITS analysis,False,amplicon_illumina_its,ASV · DADA2 modular (ITS),curated_static,True,True,3,5,5,0,0,0,PASS,
Amplicon,Illumina,Paired-end,ITS analysis,False,amplicon_illumina_its_qiime2_asv,ASV · QIIME 2 q2-dada2 (ITS),curated_static,True,True,1,1,1,0,0,0,PASS,
Amplicon,Illumina,Paired-end,ITS analysis,False,amplicon_illumina_its_nfcore,ASV turnkey · nf-core/ampliseq (ITS),curated_static,True,True,1,1,1,0,0,0,PASS,
Amplicon,Illumina,Paired-end,ITS analysis,False,amplicon_illumina_its_frogs,Flexible pipeline · FROGS (ITS),curated_static,True,True,1,1,1,0,0,0,PASS,
Amplicon,Illumina,Paired-end,ITS analysis,False,amplicon_illumina_its_lotus2,Flexible pipeline · LotuS2 (ITS),curated_static,True,True,1,1,1,0,0,0,PASS,
Amplicon,Illumina,Paired-end,ITS analysis,False,amplicon_illumina_its_obitools4,MOTU/metabarcoding · OBITools4-composed workflow (ITS),curated_static,True,True,1,1,1,0,0,0,PASS,
Amplicon,Illumina,Paired-end,ITS analysis,False,amplicon_illumina_its_mothur,"OTU · mothur (ITS, conditional)",curated_static,True,True,1,1,1,0,0,0,PASS,
Amplicon,Illumina,Paired-end,ITS analysis,False,amplicon_illumina_its_vsearch_otu,OTU · VSEARCH-centered modular workflow (ITS),curated_static,True,True,1,1,1,0,0,0,PASS,
Amplicon,Illumina,Paired-end,ITS analysis,False,amplicon_illumina_its_qiime2_otu,OTU · QIIME 2 q2-vsearch (ITS),curated_static,True,True,1,1,1,0,0,0,PASS,
Amplicon,Illumina,Paired-end,ASV inference,False,amplicon_illumina_asv_inference,Amplicon — Illumina ASV inference,curated_static,True,True,2,2,2,0,0,0,PASS,
Amplicon,Illumina,Paired-end,Taxonomic assignment,False,amplicon_illumina_taxonomic_assignment,Taxonomic assignment — ASV-based,curated_static,True,True,3,5,5,0,0,0,PASS,
Amplicon,Illumina,Paired-end,Taxonomic assignment,False,amplicon_illumina_taxonomic_assignment_otu,Taxonomic assignment — OTU-based,curated_static,True,True,3,7,7,0,0,0,PASS,
Amplicon,Illumina,Paired-end,Alpha diversity,False,amplicon_illumina_alpha_nonphylogenetic,Downstream · non-phylogenetic alpha diversity,curated_static,True,True,1,3,3,0,0,0,PASS,
Amplicon,Illumina,Paired-end,Alpha diversity,False,amplicon_illumina_alpha_phylogenetic,Downstream · phylogenetic alpha diversity (Faith PD),curated_static,True,True,1,1,1,0,0,0,PASS,
Amplicon,Illumina,Paired-end,Beta diversity,False,amplicon_illumina_beta_nonphylogenetic,Downstream · non-phylogenetic beta diversity,curated_static,True,True,1,3,3,0,0,0,PASS,
Amplicon,Illumina,Paired-end,Beta diversity,False,amplicon_illumina_beta_phylogenetic,Downstream · phylogenetic beta diversity (UniFrac),curated_static,True,True,1,2,2,0,0,0,PASS,
Amplicon,Illumina,Paired-end,Differential abundance,False,amplicon_illumina_da_simple,Downstream · simple independent-group DA,curated_static,True,True,1,3,3,0,0,0,PASS,
Amplicon,Illumina,Paired-end,Differential abundance,False,amplicon_illumina_da_multivariable,Downstream · multigroup / covariate-adjusted DA,curated_static,True,True,1,3,3,0,0,0,PASS,
Amplicon,Illumina,Paired-end,Differential abundance,False,amplicon_illumina_da_repeated,Downstream · repeated-measures / longitudinal DA,curated_static,True,True,1,3,3,0,0,0,PASS,
Amplicon,Oxford Nanopore,Long reads,16S rRNA analysis,False,amplicon_ont_full_length_16s_emu,Amplicon — Oxford Nanopore full-length 16S with Emu,curated_static,True,True,1,1,1,0,0,0,PASS,
Amplicon,PacBio,Long reads,16S rRNA analysis,False,amplicon_pacbio_16s_dada2,Amplicon — PacBio CCS 16S DADA2 workflow,curated_static,True,True,2,3,3,0,0,0,PASS,
Amplicon,PacBio,Long reads,18S rRNA analysis,False,amplicon_pacbio_18s_dada2,Amplicon — PacBio CCS 18S DADA2 workflow,curated_static,True,True,2,3,3,0,0,0,PASS,
Amplicon,PacBio,Long reads,ITS analysis,False,amplicon_pacbio_its_dada2,Amplicon — PacBio CCS ITS DADA2 workflow,curated_static,True,True,2,3,3,0,0,0,PASS,
Amplicon,PacBio,Long reads,ASV inference,False,amplicon_pacbio_asv_inference,Amplicon — PacBio CCS ASV inference,curated_static,True,True,1,1,1,0,0,0,PASS,
Bulk transcriptome,Illumina,Paired-end,Alignment-based RNA-seq,False,bulk_transcriptome_illumina_alignment_based,Bulk transcriptome — Illumina alignment-based RNA-seq,curated_static,True,True,4,6,6,0,0,0,PASS,
Bulk transcriptome,Illumina,Paired-end,Pseudoalignment / lightweight quantification,False,bulk_transcriptome_illumina_lightweight_quantification,Bulk transcriptome — Illumina lightweight quantification,curated_static,True,True,2,4,4,0,0,0,PASS,
Bulk transcriptome,Illumina,Paired-end,Differential expression,False,bulk_transcriptome_illumina_differential_expression_alignment,Bulk transcriptome — Alignment-based differential expression,curated_static,True,True,5,8,8,0,0,0,PASS,
Bulk transcriptome,Illumina,Paired-end,Differential expression,False,bulk_transcriptome_illumina_differential_expression_lightweight,Bulk transcriptome — Lightweight differential expression,curated_static,True,True,4,7,7,0,0,0,PASS,
Bulk transcriptome,Illumina,Paired-end,Transcript assembly,False,bulk_transcriptome_illumina_transcript_assembly_guided,Bulk transcriptome — Genome-guided transcript assembly,curated_static,True,True,4,6,6,0,0,0,PASS,
Bulk transcriptome,Illumina,Paired-end,Transcript assembly,False,bulk_transcriptome_illumina_transcript_assembly_denovo,Bulk transcriptome — De novo transcript assembly,curated_static,True,True,1,1,1,0,0,0,PASS,
Bulk transcriptome,Illumina,Paired-end,Alternative splicing,False,bulk_transcriptome_illumina_alternative_splicing,Bulk transcriptome — Replicate-aware alternative splicing,curated_static,True,True,4,6,6,0,0,0,PASS,
Bulk transcriptome,Illumina,Paired-end,Functional enrichment,False,bulk_transcriptome_functional_enrichment,Bulk transcriptome — Functional enrichment,curated_static,True,True,1,1,1,0,0,0,PASS,
Bulk transcriptome,Illumina,Paired-end,Pathway analysis,False,bulk_transcriptome_pathway_analysis,Bulk transcriptome — Ranked pathway enrichment,curated_static,True,True,1,1,1,0,0,0,PASS,
Bulk transcriptome,Oxford Nanopore,Long reads,Alignment-based RNA-seq,False,bulk_transcriptome_ont_alignment_based,Bulk transcriptome — Oxford Nanopore long-read alignment & gene counts,curated_static,True,True,4,4,4,0,0,0,PASS,
Bulk transcriptome,Oxford Nanopore,Long reads,Differential expression,False,bulk_transcriptome_ont_differential_expression,Bulk transcriptome — Oxford Nanopore long-read differential expression,curated_static,True,True,5,6,6,0,0,0,PASS,
Bulk transcriptome,Oxford Nanopore,Long reads,Transcript assembly,False,bulk_transcriptome_ont_transcript_assembly,Bulk transcriptome — Oxford Nanopore long-read transcript reconstruction,curated_static,True,True,3,4,4,0,0,0,PASS,
Bulk transcriptome,Oxford Nanopore,Long reads,Alternative splicing,False,bulk_transcriptome_ont_alternative_splicing,Bulk transcriptome — Oxford Nanopore long-read alternative splicing,curated_static,True,True,3,3,3,0,0,0,PASS,
Bulk transcriptome,PacBio,Long reads,Alignment-based RNA-seq,False,bulk_transcriptome_pacbio_alignment_based,Bulk transcriptome — PacBio long-read alignment & gene counts,curated_static,True,True,4,4,4,0,0,0,PASS,
